1 55.30 55.80 1400.14 0.06 0.18 0.66
2 55.30 55.80 600.00 0.06 0.18 0.66
3 55.84 56.40 1400.00 0.06 0.18 0.66
4 55.84 55.80 700.00 0.06 0.18 0.66
5 56.38 55.80 800.00 0.06 0.18 0.66
6 56.92 56.90 1400.00 0.06 0.18 0.66
7 57.99 58.00 1400.00 0.06 0.18 0.66
8 58.53 58.50 1000.00 0.06 0.18 0.66
9 57.99 58.50 1400.00 0.06 0.18 0.66
10 59.07 59.10 1400.00 0.06 0.18 0.66
11 59.07 59.10 1400.00 0.05 0.18 0.66
12 59.07 59.10 1000.00 0.06 0.18 0.66
13 59.61 60.10 1400.00 0.04 0.19 0.66
14 60.14 59.60 1200.00 0.03 0.21 0.65
15 60.14 60.10 1200.00 0.03 0.22 0.65
16 60.14 60.10 1200.00 0.03 0.22 0.64
17 59.61 59.10 1400.00 0.03 0.23 0.64
18 60.14 59.10 1200.00 0.03 0.23 0.64
19 60.14 60.10 1200.00 0.03 0.23 0.64
20 60.14 60.70 1200.00 0.06 0.20 0.64
21 59.07 60.10 1199.99 0.08 0.18 0.64
22 60.14 60.10 1200.00 0.06 0.20 0.64
23 59.61 59.60 1400.00 0.04 0.22 0.64
24 60.14 60.70 1200.00 0.04 0.22 0.64
25 60.14 60.10 1400.00 0.04 0.23 0.63
26 59.61 60.10 1200.00 0.03 0.24 0.63
27 60.14 60.70 1400.00 0.03 0.24 0.63
28 60.14 59.60 1200.00 0.03 0.24 0.63
29 60.14 60.10 1400.00 0.04 0.24 0.63
30 60.14 60.10 1200.00 0.03 0.24 0.63
31 60.14 60.10 1200.00 0.03 0.24 0.63
32 60.14 60.10 1400.00 0.03 0.24 0.63
33 60.14 60.10 1200.00 0.07 0.20 0.63
34 60.68 60.70 1200.00 0.09 0.18 0.63
35 60.14 60.10 1200.00 0.09 0.18 0.63
36 59.61 60.70 1200.00 0.07 0.20 0.63
37 60.14 60.10 1200.00 0.09 0.18 0.63
38 59.61 59.60 1400.00 0.09 0.18 0.63
39 60.14 60.10 1200.00 0.09 0.18 0.63
40 60.14 59.10 1200.00 0.08 0.18 0.63
41 59.07 60.10 1200.00 0.08 0.18 0.63
42 60.14 60.10 1200.00 0.08 0.19 0.63
43 60.14 60.10 1200.00 0.08 0.19 0.63
44 59.61 60.10 1399.99 0.08 0.19 0.63
45 60.14 60.10 1200.00 0.08 0.18 0.63
46 60.14 60.10 1200.00 0.08 0.18 0.63
47 60.14 60.70 1200.00 0.08 0.18 0.63
48 60.14 60.10 1200.00 0.08 0.18 0.63
49 60.14 60.10 1200.00 0.08 0.18 0.63
50 60.68 60.10 1200.00 0.08 0.18 0.63
51 60.14 60.10 1199.99 0.08 0.18 0.63
52 60.14 60.10 900.00 0.08 0.18 0.63
53 60.14 60.10 1200.00 0.08 0.19 0.63
54 60.14 60.10 1200.00 0.08 0.19 0.63
55 60.14 60.70 1200.00 0.08 0.18 0.63
56 60.14 60.10 1200.00 0.08 0.19 0.63
57 60.14 60.70 1200.00 0.08 0.19 0.63
58 60.14 60.10 1200.00 0.09 0.18 0.63
59 60.14 60.70 1200.00 0.09 0.18 0.63
60 60.68 60.10 1200.00 0.09 0.18 0.63
